6a45327f-f2ff-4289-95b2-6c79e9ef5d54,bkurian,Red Dead Redemption,true,false,40.0,2025-07-06T21:53:32.121994
88f0ba0c-2e0a-467d-aa60-a8bc5b6f381a,bkurian,Flatland,true,false,50.0,2025-07-06T21:54:25.957474
8857baf5-063f-423e-97f6-89df2059d191,bkurian,Operating System Concepts,true,false,75.0,2025-07-06T21:55:25.921427
6ba51b08-a5bc-49d4-8ce2-96703d7f956f,bkurian,Wish,true,false,16.0,2025-07-06T21:56:46.057188
d21ec420-b381-4c49-967f-1d002f114be4,bkurian,Math in Society,true,false,80.0,2025-07-06T21:57:35.623721
6e735f45-2549-4bcb-936c-9848b57c66a7,bakurian,Red Dead Redemption,false,true,40.0,2025-07-06T22:24:35.611792
9dfc4967-aadf-48f9-b736-a995b4a8de13,bakurian,Operating System Concepts,false,true,75.0,2025-07-06T22:24:35.613233
e14ce404-3aec-423f-82b7-05e660511b7d,bakurian,Wish,false,true,16.0,2025-07-06T22:24:35.613616
19991d4d-8b3e-40b9-b0ac-f42ec839f7c6,bakurian,Wish,false,true,16.0,2025-07-06T22:24:35.613946
c56e82a7-2611-454f-8fb1-d23dc1b77c7c,bakurian,Wish,false,true,16.0,2025-07-06T22:24:35.614204
78e6ad49-c889-4008-b609-5a1143c5729d,bakurian,Flatland,false,true,50.0,2025-07-06T22:24:35.614506
3ad168de-76e7-401b-ba81-b1ba058c9ccb,bakurian,Math in Society,false,true,80.0,2025-07-06T22:24:35.614797
c4a444cd-0ca0-4028-a9dd-a6ef8c4c4ea0,bakurian,Math in Society,false,true,80.0,2025-07-06T22:24:35.615089
627c65c5-3206-4b8e-b5b2-01849cd0ead2,bkurian,Red Dead Redemption,true,false,50.0,2025-07-06T23:12:49.426545
fdd6e49e-7b48-41c2-a3be-4d1a3f1a3f27,bkurian,Intro to Math,true,false,56.0,2025-07-06T23:13:29.455101
5611865f-d75d-4710-bf51-96985c9b09da,bkurian,Intro to Operating Systems,true,false,150.0,2025-07-06T23:14:09.780487
aab84307-b568-46f1-b2f7-c6d6922a494f,bkurian,English 101,true,false,68.0,2025-07-06T23:14:53.013517
a41d6178-6e73-4bf9-b94a-19d71f4b4b23,smith,Smith's biography,true,false,500.0,2025-07-06T23:15:43.861794
